"源节点ID","目标节点ID","关系类型","空间键","空间名称","证据","权重"
"space:CELAB","page:15876935","空间首页","CELAB","Certification Lab","Certification Lab 主页","1"
"page:15876935","topic:测试与验证","推断主题","CELAB","Certification Lab","Certification Lab 主页","1"
"page:15876935","page:15877020","包含目录","CELAB","Certification Lab","Certification Lab 主页 / 0-General","1"
"page:15877020","topic:测试与验证","推断主题","CELAB","Certification Lab","0-General","1"
"page:15877020","page:16650170","包含目录","CELAB","Certification Lab","Certification Lab 主页 / 0-General / Common Knowledge Pool","1"
"page:16650170","topic:测试与验证","推断主题","CELAB","Certification Lab","Common Knowledge Pool","1"
"page:15877020","page:17797573","包含目录","CELAB","Certification Lab","Certification Lab 主页 / 0-General / How to capture log","1"
"page:17797573","topic:测试与验证","推断主题","CELAB","Certification Lab","How to capture log","1"
"page:15877020","page:15892447","包含目录","CELAB","Certification Lab","Certification Lab 主页 / 0-General / Planning","1"
"page:15892447","topic:测试与验证","推断主题","CELAB","Certification Lab","Planning","1"
"page:15877020","page:15882712","包含目录","CELAB","Certification Lab","Certification Lab 主页 / 0-General / Project Management","1"
"page:15882712","topic:测试与验证","推断主题","CELAB","Certification Lab","Project Management","1"
"page:15877020","page:63898141","包含目录","CELAB","Certification Lab","Certification Lab 主页 / 0-General / Red Bull TV","1"
"page:63898141","topic:测试与验证","推断主题","CELAB","Certification Lab","Red Bull TV","1"
"page:15877020","page:41355959","包含目录","CELAB","Certification Lab","Certification Lab 主页 / 0-General / Training","1"
"page:41355959","topic:测试与验证","推断主题","CELAB","Certification Lab","Training","1"
"page:15877020","page:25986470","包含目录","CELAB","Certification Lab","Certification Lab 主页 / 0-General / 临时问题收集","1"
"page:25986470","topic:测试与验证","推断主题","CELAB","Certification Lab","临时问题收集","1"
"page:15876935","page:15884526","包含目录","CELAB","Certification Lab","Certification Lab 主页 / 1-Global Certifications","1"
"page:15884526","topic:测试与验证","推断主题","CELAB","Certification Lab","1-Global Certifications","1"
"page:15884526","page:157197282","包含目录","CELAB","Certification Lab","Certification Lab 主页 / 1-Global Certifications / AirPlay2 Certification","1"
"page:157197282","topic:测试与验证","推断主题","CELAB","Certification Lab","AirPlay2 Certification","1"
"page:15884526","page:15884361","包含目录","CELAB","Certification Lab","Certification Lab 主页 / 1-Global Certifications / Amazon Prime Video","1"
"page:15884361","topic:测试与验证","推断主题","CELAB","Certification Lab","Amazon Prime Video","1"
"page:15884526","page:15884621","包含目录","CELAB","Certification Lab","Certification Lab 主页 / 1-Global Certifications / Amazon-Alexa","1"
"page:15884621","topic:测试与验证","推断主题","CELAB","Certification Lab","Amazon-Alexa","1"
"page:15884526","page:302727438","包含目录","CELAB","Certification Lab","Certification Lab 主页 / 1-Global Certifications / DAZN","1"
"page:302727438","topic:测试与验证","推断主题","CELAB","Certification Lab","DAZN","1"
"page:15884526","page:15884614","包含目录","CELAB","Certification Lab","Certification Lab 主页 / 1-Global Certifications / Dolby Vision","1"
"page:15884614","topic:测试与验证","推断主题","CELAB","Certification Lab","Dolby Vision","1"
"page:15884526","page:36241930","包含目录","CELAB","Certification Lab","Certification Lab 主页 / 1-Global Certifications / DTCP-IP 购key 流程","1"
"page:36241930","topic:测试与验证","推断主题","CELAB","Certification Lab","DTCP-IP 购key 流程","1"
"page:15884526","page:259442831","包含目录","CELAB","Certification Lab","Certification Lab 主页 / 1-Global Certifications / DTS Play-fi","1"
"page:259442831","topic:测试与验证","推断主题","CELAB","Certification Lab","DTS Play-fi","1"
"page:15884526","page:15884619","包含目录","CELAB","Certification Lab","Certification Lab 主页 / 1-Global Certifications / Google","1"
"page:15884619","topic:测试与验证","推断主题","CELAB","Certification Lab","Google","1"
"page:15884526","page:31819779","包含目录","CELAB","Certification Lab","Certification Lab 主页 / 1-Global Certifications / Google Assistant","1"
"page:31819779","topic:测试与验证","推断主题","CELAB","Certification Lab","Google Assistant","1"
"page:15884526","page:67077662","包含目录","CELAB","Certification Lab","Certification Lab 主页 / 1-Global Certifications / Google Play Movie","1"
"page:67077662","topic:测试与验证","推断主题","CELAB","Certification Lab","Google Play Movie","1"
"page:15884526","page:15884611","包含目录","CELAB","Certification Lab","Certification Lab 主页 / 1-Global Certifications / Miracast","1"
"page:15884611","topic:测试与验证","推断主题","CELAB","Certification Lab","Miracast","1"
"page:15884526","page:15882778","包含目录","CELAB","Certification Lab","Certification Lab 主页 / 1-Global Certifications / Netflix","1"
"page:15882778","topic:测试与验证","推断主题","CELAB","Certification Lab","Netflix","1"
"page:15884526","page:15884671","包含目录","CELAB","Certification Lab","Certification Lab 主页 / 1-Global Certifications / Opera","1"
"page:15884671","topic:测试与验证","推断主题","CELAB","Certification Lab","Opera","1"
"page:15884526","page:150734889","包含目录","CELAB","Certification Lab","Certification Lab 主页 / 1-Global Certifications / QDA Certification","1"
"page:150734889","topic:测试与验证","推断主题","CELAB","Certification Lab","QDA Certification","1"
"page:15884526","page:149985629","包含目录","CELAB","Certification Lab","Certification Lab 主页 / 1-Global Certifications / Technicolor Advanced HDR logo","1"
"page:149985629","topic:测试与验证","推断主题","CELAB","Certification Lab","Technicolor Advanced HDR logo","1"
"page:15884526","page:15881804","包含目录","CELAB","Certification Lab","Certification Lab 主页 / 1-Global Certifications / Youtube","1"
"page:15881804","topic:测试与验证","推断主题","CELAB","Certification Lab","Youtube","1"
"page:15884526","page:15886850","包含目录","CELAB","Certification Lab","Certification Lab 主页 / 1-Global Certifications / YouTube Kids","1"
"page:15886850","topic:测试与验证","推断主题","CELAB","Certification Lab","YouTube Kids","1"
"page:15884526","page:15886852","包含目录","CELAB","Certification Lab","Certification Lab 主页 / 1-Global Certifications / YouTube TV","1"
"page:15886852","topic:测试与验证","推断主题","CELAB","Certification Lab","YouTube TV","1"
"page:15876935","page:15884541","包含目录","CELAB","Certification Lab","Certification Lab 主页 / 2-NA Certifications","1"
"page:15884541","topic:测试与验证","推断主题","CELAB","Certification Lab","2-NA Certifications","1"
"page:15884541","page:141863356","包含目录","CELAB","Certification Lab","Certification Lab 主页 / 2-NA Certifications / ATSC 3.0","1"
"page:141863356","topic:测试与验证","推断主题","CELAB","Certification Lab","ATSC 3.0","1"
"page:15884541","page:83299023","包含目录","CELAB","Certification Lab","Certification Lab 主页 / 2-NA Certifications / CCPA","1"
"page:83299023","topic:测试与验证","推断主题","CELAB","Certification Lab","CCPA","1"
