"源节点ID","目标节点ID","关系类型","空间键","空间名称","证据","权重"
"space:~fengmeimei","topic:其他","覆盖主题","~fengmeimei","冯美美","目录节点数 3","3"
"space:~fengmeimei","topic:测试与验证","覆盖主题","~fengmeimei","冯美美","目录节点数 2","2"
"space:~fengmeimei","topic:会议与协同","覆盖主题","~fengmeimei","冯美美","目录节点数 1","1"
"space:ALK","topic:其他","覆盖主题","ALK","案例库","目录节点数 7","7"
"space:ALK","topic:设计与架构","覆盖主题","ALK","案例库","目录节点数 1","1"
"space:ALK","topic:项目管理","覆盖主题","ALK","案例库","目录节点数 1","1"
"space:ALK","topic:测试与验证","覆盖主题","ALK","案例库","目录节点数 1","1"
"space:CELAB","topic:测试与验证","覆盖主题","CELAB","Certification Lab","目录节点数 96","96"
"space:DMTYFCXLT","topic:其他","覆盖主题","DMTYFCXLT","电子信息集团研发中心创新论坛","目录节点数 51","51"
"space:DMTYFCXLT","topic:数据与质量","覆盖主题","DMTYFCXLT","电子信息集团研发中心创新论坛","目录节点数 2","2"
"space:dshwrj","topic:其他","覆盖主题","dshwrj","海外软件开发所","目录节点数 67","67"
"space:dshwrj","topic:规范与流程","覆盖主题","dshwrj","海外软件开发所","目录节点数 46","46"
"space:dshwrj","topic:培训与知识","覆盖主题","dshwrj","海外软件开发所","目录节点数 22","22"
"space:dshwrj","topic:项目管理","覆盖主题","dshwrj","海外软件开发所","目录节点数 15","15"
"space:dshwrj","topic:设计与架构","覆盖主题","dshwrj","海外软件开发所","目录节点数 15","15"
"space:dshwrj","topic:问题与复盘","覆盖主题","dshwrj","海外软件开发所","目录节点数 14","14"
"space:dshwrj","topic:测试与验证","覆盖主题","dshwrj","海外软件开发所","目录节点数 12","12"
"space:dshwrj","topic:会议与协同","覆盖主题","dshwrj","海外软件开发所","目录节点数 8","8"
"space:dshwrj","topic:数据与质量","覆盖主题","dshwrj","海外软件开发所","目录节点数 6","6"
"space:dshwrj","topic:版本与计划","覆盖主题","dshwrj","海外软件开发所","目录节点数 3","3"
"space:dshwrj","topic:需求与功能","覆盖主题","dshwrj","海外软件开发所","目录节点数 2","2"
"space:dshwrj","topic:二维三维与图形模型","覆盖主题","dshwrj","海外软件开发所","目录节点数 1","1"
"space:DSODMCPKFZL","topic:其他","覆盖主题","DSODMCPKFZL","电视ODM产品开发资料","目录节点数 5","5"
"space:DSODMCPKFZL","topic:项目管理","覆盖主题","DSODMCPKFZL","电视ODM产品开发资料","目录节点数 4","4"
"space:DSODMCPKFZL","topic:规范与流程","覆盖主题","DSODMCPKFZL","电视ODM产品开发资料","目录节点数 3","3"
"space:DSWXXM","topic:项目管理","覆盖主题","DSWXXM","电视外销项目空间","目录节点数 131","131"
"space:DSWXXM","topic:设计与架构","覆盖主题","DSWXXM","电视外销项目空间","目录节点数 57","57"
"space:DSWXXM","topic:规范与流程","覆盖主题","DSWXXM","电视外销项目空间","目录节点数 17","17"
"space:DSWXXM","topic:测试与验证","覆盖主题","DSWXXM","电视外销项目空间","目录节点数 14","14"
"space:DSWXXM","topic:问题与复盘","覆盖主题","DSWXXM","电视外销项目空间","目录节点数 13","13"
"space:DSWXXM","topic:培训与知识","覆盖主题","DSWXXM","电视外销项目空间","目录节点数 6","6"
"space:DSWXXM","topic:会议与协同","覆盖主题","DSWXXM","电视外销项目空间","目录节点数 6","6"
"space:DSWXXM","topic:版本与计划","覆盖主题","DSWXXM","电视外销项目空间","目录节点数 5","5"
"space:DSWXXM","topic:需求与功能","覆盖主题","DSWXXM","电视外销项目空间","目录节点数 2","2"
"space:dsxmxx","topic:设计与架构","覆盖主题","dsxmxx","电视产品项目信息","目录节点数 81","81"
"space:dsxmxx","topic:项目管理","覆盖主题","dsxmxx","电视产品项目信息","目录节点数 74","74"
"space:dsxmxx","topic:测试与验证","覆盖主题","dsxmxx","电视产品项目信息","目录节点数 10","10"
"space:dsxmxx","topic:问题与复盘","覆盖主题","dsxmxx","电视产品项目信息","目录节点数 6","6"
"space:dsxmxx","topic:版本与计划","覆盖主题","dsxmxx","电视产品项目信息","目录节点数 6","6"
"space:dsxmxx","topic:需求与功能","覆盖主题","dsxmxx","电视产品项目信息","目录节点数 3","3"
"space:dsxmxx","topic:会议与协同","覆盖主题","dsxmxx","电视产品项目信息","目录节点数 2","2"
"space:dsxmxx","topic:二维三维与图形模型","覆盖主题","dsxmxx","电视产品项目信息","目录节点数 2","2"
"space:dsxmxx","topic:规范与流程","覆盖主题","dsxmxx","电视产品项目信息","目录节点数 1","1"
"space:DZKJDSHWKF","topic:其他","覆盖主题","DZKJDSHWKF","产品线运营中心深圳研发部","目录节点数 70","70"
"space:DZKJDSHWKF","topic:项目管理","覆盖主题","DZKJDSHWKF","产品线运营中心深圳研发部","目录节点数 20","20"
"space:DZKJDSHWKF","topic:测试与验证","覆盖主题","DZKJDSHWKF","产品线运营中心深圳研发部","目录节点数 18","18"
"space:DZKJDSHWKF","topic:设计与架构","覆盖主题","DZKJDSHWKF","产品线运营中心深圳研发部","目录节点数 14","14"
"space:DZKJDSHWKF","topic:规范与流程","覆盖主题","DZKJDSHWKF","产品线运营中心深圳研发部","目录节点数 9","9"
"space:DZKJDSHWKF","topic:培训与知识","覆盖主题","DZKJDSHWKF","产品线运营中心深圳研发部","目录节点数 9","9"
"space:DZKJDSHWKF","topic:数据与质量","覆盖主题","DZKJDSHWKF","产品线运营中心深圳研发部","目录节点数 5","5"
"space:DZKJDSHWKF","topic:会议与协同","覆盖主题","DZKJDSHWKF","产品线运营中心深圳研发部","目录节点数 4","4"
"space:DZKJDSHWKF","topic:问题与复盘","覆盖主题","DZKJDSHWKF","产品线运营中心深圳研发部","目录节点数 3","3"
"space:DZKJDSHWKF","topic:版本与计划","覆盖主题","DZKJDSHWKF","产品线运营中心深圳研发部","目录节点数 2","2"
"space:DZKJSZDSPT","topic:其他","覆盖主题","DZKJSZDSPT","海外数字电视与浏览器开发所","目录节点数 28","28"
"space:DZKJSZDSPT","topic:项目管理","覆盖主题","DZKJSZDSPT","海外数字电视与浏览器开发所","目录节点数 9","9"
"space:DZKJSZDSPT","topic:会议与协同","覆盖主题","DZKJSZDSPT","海外数字电视与浏览器开发所","目录节点数 3","3"
"space:DZKJSZDSPT","topic:规范与流程","覆盖主题","DZKJSZDSPT","海外数字电视与浏览器开发所","目录节点数 2","2"
"space:DZKJSZDSPT","topic:数据与质量","覆盖主题","DZKJSZDSPT","海外数字电视与浏览器开发所","目录节点数 1","1"
"space:DZKJSZDSPT","topic:设计与架构","覆盖主题","DZKJSZDSPT","海外数字电视与浏览器开发所","目录节点数 1","1"
"space:DZKJSZDSPT","topic:测试与验证","覆盖主题","DZKJSZDSPT","海外数字电视与浏览器开发所","目录节点数 1","1"
"space:DZKJZLCS","topic:数据与质量","覆盖主题","DZKJZLCS","深研质量改善小组","目录节点数 12","12"
"space:DZKJZLCS","topic:版本与计划","覆盖主题","DZKJZLCS","深研质量改善小组","目录节点数 2","2"
