"Key","Name","Type","HomepageId","HomepageTitle","Url"
"CELAB","Certification Lab","global","15876935","Certification Lab 主页","http://dmtks.hisense.com/display/CELAB"
"test1","test1","global","8880958","test1 Home","http://dmtks.hisense.com/display/test1"
"VIDAA","VIDAA","global","66391221","VIDAA Main page","http://dmtks.hisense.com/display/VIDAA"
"HWDBYYS","VIDAA系统研发部","global","7340192","VIDAA系统研发部 Home","http://dmtks.hisense.com/display/HWDBYYS"
"ZYJCKC","专业基础课程","global","54103905","专业基础课程","http://dmtks.hisense.com/display/ZYJCKC"
"ZYTSKC","专业提升课程","global","54103919","专业提升课程","http://dmtks.hisense.com/display/ZYTSKC"
"YYZX","产品线运营中心学习资料共享","global","82583404","电视产品线运营中心学习共享","http://dmtks.hisense.com/display/YYZX"
"DZKJDSHWKF","产品线运营中心深圳研发部","global","13716871","产品线深圳研发中心电视开发所 主页","http://dmtks.hisense.com/display/DZKJDSHWKF"
"~fengmeimei","冯美美","personal","119708399","冯美美的主页","http://dmtks.hisense.com/display/~fengmeimei"
"RZZGXM","员工管理","global","81139783","员工管理","http://dmtks.hisense.com/display/RZZGXM"
"PXZL","培训资料","global","15587085","培训资料","http://dmtks.hisense.com/display/PXZL"
"TOOLS","工具池","global","97195588","工具池","http://dmtks.hisense.com/display/TOOLS"
"PTRJKFS","平台软件开发所","global","317692191","平台软件开发所 主页","http://dmtks.hisense.com/display/PTRJKFS"
"RBRJJSS","日本产品软件所","global","164839871","日本产品软件所 主页","http://dmtks.hisense.com/display/RBRJJSS"
"ALK","案例库","global","54103926","案例库","http://dmtks.hisense.com/display/ALK"
"JUOS","海信JuOS操作系统知识库","global","187802516","海信JuOS操作系统知识库","http://dmtks.hisense.com/display/JUOS"
"DZKJSZDSPT","海外数字电视与浏览器开发所","global","13716865","海外数字电视与浏览器开发所 主页","http://dmtks.hisense.com/display/DZKJSZDSPT"
"dshwrj","海外软件开发所","global","5832933","海外软件开发所 Home","http://dmtks.hisense.com/display/dshwrj"
"SYSHARE","深研公共分享","global","24052361","深圳研发中心服务平台","http://dmtks.hisense.com/display/SYSHARE"
"SYKS","深研知识分享体系","global","216896133","深研知识分享体系 主页","http://dmtks.hisense.com/display/SYKS"
"DZKJZLCS","深研质量改善小组","global","13716878","深研质量改善小组 主页","http://dmtks.hisense.com/display/DZKJZLCS"
"ZJJSWYH","电子信息集团研发中心专业技术委员会","global","25985462","电子信息集团研发中心专业技术委员会","http://dmtks.hisense.com/display/ZJJSWYH"
"DMTYFCXLT","电子信息集团研发中心创新论坛","global","14838943","视像科技研发中心创新论坛 主页","http://dmtks.hisense.com/display/DMTYFCXLT"
"DSODMCPKFZL","电视ODM产品开发资料","global","33067160","电视ODM产品开发资料 主页","http://dmtks.hisense.com/display/DSODMCPKFZL"
"RUANJIANYANFA","电视产品软件所","global","4489435","电视产品软件所 Home","http://dmtks.hisense.com/display/RUANJIANYANFA"
"dsxmxx","电视产品项目信息","global","4128807","内销电视产品项目信息","http://dmtks.hisense.com/display/dsxmxx"
"DSWXXM","电视外销项目空间","global","22053496","电视外销项目空间 主页","http://dmtks.hisense.com/display/DSWXXM"
"JQ","电视应用软件所","global","5407673","电视应用软件所 Home","http://dmtks.hisense.com/display/JQ"
"XTXNSY","系统性能优化团队（深研）","global","204735990","系统性能优化团队（深研） 主页","http://dmtks.hisense.com/display/XTXNSY"
"NXPTRJ","系统软件开发所","global","80449950","系统软件开发所 主页","http://dmtks.hisense.com/display/NXPTRJ"
"QDPTJSS","系统软件开发所666","global","13723344","系统软件开发所666 Home","http://dmtks.hisense.com/display/QDPTJSS"
"YFZXJSSL","视像科技研发中心技术沙龙","global","146968877","视像科技研发中心技术沙龙 主页","http://dmtks.hisense.com/display/YFZXJSSL"
"RJYFBGG","软件研发部公共空间","global","14824627","软件研发部公共空间 主页","http://dmtks.hisense.com/display/RJYFBGG"
"TYXX","通用信息","global","12977947","通用信息 主页","http://dmtks.hisense.com/display/TYXX"
