"Id","Name","Custom","Orderable","Searchable","ClauseNames","SchemaType","SchemaCustom"
"customfield_23700","RD测试版本","True","True","True","cf[23700]|RD测试版本","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"customfield_19200","提示","True","True","True","cf[19200]|提示","string","com.atlassian.jira.plugin.system.customfieldtypes:readonlyfield"
"customfield_21400","超期申诉问题","True","True","True","cf[21400]|超期申诉问题","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"customfield_23701","RD修复版本","True","True","True","cf[23701]|RD修复版本","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"customfield_23702","RD验证版本","True","True","True","cf[23702]|RD验证版本","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"resolution","解决结果","False","True","True","resolution","resolution",
"customfield_10510","机型","True","True","True","cf[10510]|机型","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"customfield_10500","验证人","True","True","True","cf[10500]|验证人","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"customfield_12801","问题分类","True","True","True","cf[12801]|问题分类","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"customfield_10504","测试计划名称","True","True","True","cf[10504]|测试计划名称","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"customfield_18100","市场质量问题漏测原因分析","True","True","True","cf[18100]|市场质量问题漏测原因分析","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"customfield_24800","第三方选择","True","True","True","cf[24800]|第三方选择","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"lastViewed","最近查看的","False","False","False","lastViewed","datetime",
"customfield_20300","是否按照检查规则完成结果填写","True","True","True","cf[20300]|是否按照检查规则完成结果填写","option","com.atlassian.jira.plugin.system.customfieldtypes:radiobuttons"
"customfield_24801","第三方市场类型","True","True","True","cf[24801]|第三方市场类型","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"customfield_18101","问题类别(RD)","True","True","True","cf[18101]|问题类别(RD)","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"customfield_24802","第三方问题类型","True","True","True","cf[24802]|第三方问题类型","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"customfield_18102","验证方式","True","True","True","cf[18102]|验证方式","option","com.atlassian.jira.plugin.system.customfieldtypes:radiobuttons"
"customfield_24803","第三方测试类型","True","True","True","cf[24803]|第三方测试类型","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"customfield_18103","需求文档","True","True","True","cf[18103]|需求文档","option","com.atlassian.jira.plugin.system.customfieldtypes:radiobuttons"
"customfield_11700","问题来源","True","True","True","cf[11700]|问题来源","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"customfield_11701","适用机芯/方案","True","True","True","cf[11701]|适用机芯/方案","array","com.atlassian.jira.plugin.system.customfieldtypes:multiselect"
"aggregatetimeoriginalestimate","Σ 原预估时间","False","False","False","","number",
"customfield_11703","开始实施时间","True","True","True","cf[11703]|开始实施时间","date","com.atlassian.jira.plugin.system.customfieldtypes:datepicker"
"customfield_11706","完成结果","True","True","True","cf[11706]|完成结果","string","com.atlassian.jira.plugin.system.customfieldtypes:textarea"
"issuelinks","链接的问题","False","True","True","","array",
"assignee","经办人","False","True","True","assignee","user",
"customfield_21500","泄露率申诉类别","True","True","True","cf[21500]|泄露率申诉类别","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"customfield_23600","流水线选择","True","True","True","cf[23600]|流水线选择","string","com.atlassian.jira.plugin.system.customfieldtypes:textarea"
"customfield_23601","是否需进入CI系统","True","True","True","cf[23601]|是否需进入CI系统","option","com.atlassian.jira.plugin.system.customfieldtypes:radiobuttons"
"customfield_25900","需执行软件过程活动（业务方向SE审核同意后可将裁剪活动去勾选）","True","True","True","cf[25900]|需执行软件过程活动（业务方向SE审核同意后可将裁剪活动去勾选）","array","com.atlassian.jira.plugin.system.customfieldtypes:multicheckboxes"
"customfield_25901","代码会议评审JIRA任务ID","True","True","True","cf[25901]|代码会议评审JIRA任务ID","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"customfield_25902","转系统测试评审报告SVN地址","True","True","True","cf[25902]|转系统测试评审报告SVN地址","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"customfield_25903","单元测试有效性评审JIRA任务ID","True","True","True","cf[25903]|单元测试有效性评审JIRA任务ID","string","com.atlassian.jira.plugin.system.customfieldtypes:textfield"
"customfield_19302","最新结果","True","True","True","cf[19302]|最新结果","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
"customfield_17000","技术评审类别","True","True","True","cf[17000]|技术评审类别","option","com.atlassian.jira.plugin.system.customfieldtypes:select"
