"Category","ProjectCount","SampleKeys"
"其他","564","CLASS3D:3D眼镜项目(利尔达) | K120HZ:8K@120Hz输出显示的软件架构预研 | ACASM:A-CAS Module | ARM3:AR-M3分体眼镜 | ARTMODECBB:ArtMode_CBB | ATSC32024:ATSC3.0 2024新需求新特性开发 | ATSC3JH:ATSC3.0交互应用预研 | B2BRJLC:B2B软件量产后问题管理 | BL704L10Q2IR:BL704L-10-Q2IR | BUGREPORTSERVICE:BugreportService | CBBRECENT:Cbb_Recent | CH32V203:CH32V203"
"MTK平台其他","187","MT9612STABILITY:9612项目性能稳定性研究 | ANDROIDDMTBFCSTJ:Android多媒体播放器测试套件 | LMTKMULSCR:linux MTK平台多屏互动服务整合内部项目 | MT5327K370HK:MT5327-K370HK | MT5327LASERTV:MT5327-LaserTV | MT53297900A:MT5329-7900A | XT910:MT5329-XT910 | MT5505K370:MT5505-K370 | MT5505L288:MT5505-L288 | MT5507:MT5507 | MT5507HOTEL:MT5507酒店机 | K690U:MT5508-K690U"
"系统和OS平台","154","OSANDROID4KNOW:4KNow应用Google+Play上线运营项目研究 | ANDROIDAVGCBB:Alexa语音控制_CBB | ANDROIDTVATSC3:Android ATSC 3.0预研 | ANDROIDTVDZSMSKZH:Android TV电子说明书客制化需求研究 | ANDROIDTVDZSMS:Android TV电子说明书软件和编辑平台研究 | ANDROIDIPV6:ANDROID-IPv6适配预研 | ANDROIDOTA:Android_OTA | ANDROIDQKSSP:AndroidQ快速适配预研 | ANDROIDEUDTVLOGO:AndroidTV EU DTV logo认证关键技术研究 | ANDROIDTVGINGAD:AndroidTV Ginga-D关键技术研究 | ANDROIDMIRACASTDLTP:AndroidTV Miracast多路投屏技术研究  | ANDROIDMUTI:Android多场景性能优化"
"产品项目","64","TVS2K2023:2023 TVS 2K平台先行开发 | DBJPZNTV:Driver Based日本智能电视预研项目 | HBBTVTA:HbbTV TA新特性开发预研 | HBBTV204:HbbTV2.0.4新规范预研 | HISIV811SJTV:HISI-V811社交电视 | HISIV620TVOS2:HISIV620_TVOS2.0 | JULYTV:July_TV | LIVETVCBB:LiveTV_CBB | MARPROJECT:MARS_Project | MARSU10:MARS_Project_U10 | TVMW:Middleware_TVMW_CBB | MSD3553ODM:MSD3553-ODM"
"测试质量和自动化","29","AUTOTESTPROJ:AutoTest系统整合项目 | DTVFITESTAUTO:DTV功能集成测试自动化预研项目 | DTVTEST2:DTV自动化测试工具二期 | HAYSYNCTEST:HAY_SYNCTEST | LANGOTEST:langoTest | LITAUTOTEST:LIT集成测试项目 | ODINUNITTEST:OdinUnitTest | PLTESTINGTOOL:PLTestingTool | PVRHUITESTCASE:PVR_HUI_TestCase | SITAUTOTEST:SIT自动化问题库 | TESTFRAMEWORK:Test Framework | TESTTE:Test TE Bug"
"Amlogic和Android平台","28","A311D2DPYX:A311D2-带屏音响 | A311D2CKXZZHP:A311D2-触控旋转智慧屏 | AML950D5EUAUCOAMU9:AML950D5_EUAUCOAM_U9 | AMLT950XROKU:AML_T950X_ROKU | AMLT962XXTV:AML_T962X_XTV | AMLTR955ROKU:AML_TR955_ROKU | AMLTR964K8E:AML_TR964-K8E_ROKU | AMLTR985ROKU4K:AML_TR985_ROKU4K | AMLOGIC:AMLOGIC | AT950S:Amlogic-T950S | AMLOGICT962X2:Amlogic-T962X2 | AMLOGICT962X3ZJ0E:Amlogic-T962X3Z-J0E"
"应用和多媒体","26","DTVATSC30:ATSC3.0 二期技术预研 | DTVMETADATA:DTV-MetaData快速搜索研究 | DTVMARKET:DTV市场问题跟踪 | MEDIACENTERCBB:MediaCenter_CBB | MEDFW2:MediaFramework 2.0  | MIRACASTCBB:Miracast_CBB | MIRACASTKEEPONWIF:Miracast不断网投屏 | ODINOPAPP:Odin_OpApp | REMOTEAPP:Remote app | HIPLAYER:下一代媒体播放器HiPlayer | PANORAMAPLAYER:全景播放器CBB | DTVUNITY:全球化DTV协议栈融合预研"
"AI和画质算法","25","AIVOICE731: 语音助手自升级项目 | AIEAGLE:AI Eagle项目 | AIMACEY:AI Macey | AIMACEYTEST:AI Macey_Test | AIAQ:AIAQ | AIMACEYMNG:AIMacey主干管理项目 | AIOD:AIOD | AIOT:AIOT | AIPQ2CBB:AIPQ2.0_CBB | AIPQ6886U4EU:AIPQ软件项目_6886U4 EU | AIPQ9602U5EU:AIPQ软件项目_9602EU | AIHYJY:AI会议纪要"
"MT9603平台","17","MT9603:MT9603 | MT9603AMU7:MT9603_AM_U7 | MT9603AMU8:MT9603_AM_U8 | MZDTVTYXYZ:MT9603_AM_U8_AddDVB | MT9603AMU9:MT9603_AM_U9 | MT9603EUAUCOU7:MT9603_EUAUCO_U7 | MT9603EUAUCOU8:MT9603_EUAUCO_U8 | MT9603EUAUCOU9:MT9603_EUAUCO_U9 | MT9603GLOBU9P:MT9603_Global_U9Projector | MT9603GTV:MT9603_GTV | MT9603JPU7:MT9603_JP_U7 | MT9603JPU85:MT9603_JP_U85"
"MT9618平台","15","MT9618EUAUCOU7:MT9618_EUAUCO_U7 | MT9618EUAUCOU8:MT9618_EUAUCO_U8 | MT9618EUAUCOU9:MT9618_EUAUCO_U9 | MT9618JPBD:MT9618_JP_BD | MT9618JPU7:MT9618_JP_U7 | MT9618JPU75:MT9618_JP_U75 | MT9618JPU8:MT9618_JP_U8 | MT9618JPU85HJ26:MT9618_JP_U85HJ26 | MT9618LOEWE:MT9618_Loewe | MT9618USGTV:MT9618_US_GTV | MT9618USGTVU:MT9618_US_GTVU | MT9618VIDAALASER:MT9618_VIDAA_LASER"
