"Key","Name","Category","ProjectType","Lead","Url"
"AIVOICE731"," 语音助手自升级项目","AI和画质算法","software",,"http://tvjira.hisense.com/projects/AIVOICE731"
"TVS2K2023","2023 TVS 2K平台先行开发","产品项目","software",,"http://tvjira.hisense.com/projects/TVS2K2023"
"CLASS3D","3D眼镜项目(利尔达)","其他","software",,"http://tvjira.hisense.com/projects/CLASS3D"
"OSANDROID4KNOW","4KNow应用Google+Play上线运营项目研究","系统和OS平台","software",,"http://tvjira.hisense.com/projects/OSANDROID4KNOW"
"K120HZ","8K@120Hz输出显示的软件架构预研","其他","software",,"http://tvjira.hisense.com/projects/K120HZ"
"MT9612STABILITY","9612项目性能稳定性研究","MTK平台其他","software",,"http://tvjira.hisense.com/projects/MT9612STABILITY"
"ACASM","A-CAS Module","其他","software",,"http://tvjira.hisense.com/projects/ACASM"
"A311D2DPYX","A311D2-带屏音响","Amlogic和Android平台","software",,"http://tvjira.hisense.com/projects/A311D2DPYX"
"A311D2CKXZZHP","A311D2-触控旋转智慧屏","Amlogic和Android平台","software",,"http://tvjira.hisense.com/projects/A311D2CKXZZHP"
"AIEAGLE","AI Eagle项目","AI和画质算法","software",,"http://tvjira.hisense.com/projects/AIEAGLE"
"AIMACEY","AI Macey","AI和画质算法","software",,"http://tvjira.hisense.com/projects/AIMACEY"
"AIMACEYTEST","AI Macey_Test","AI和画质算法","software",,"http://tvjira.hisense.com/projects/AIMACEYTEST"
"AIAQ","AIAQ","AI和画质算法","software",,"http://tvjira.hisense.com/projects/AIAQ"
"AIMACEYMNG","AIMacey主干管理项目","AI和画质算法","software",,"http://tvjira.hisense.com/projects/AIMACEYMNG"
"AIOD","AIOD","AI和画质算法","software",,"http://tvjira.hisense.com/projects/AIOD"
"AIOT","AIOT","AI和画质算法","software",,"http://tvjira.hisense.com/projects/AIOT"
"AIPQ2CBB","AIPQ2.0_CBB","AI和画质算法","software",,"http://tvjira.hisense.com/projects/AIPQ2CBB"
"AIPQ6886U4EU","AIPQ软件项目_6886U4 EU","AI和画质算法","software",,"http://tvjira.hisense.com/projects/AIPQ6886U4EU"
"AIPQ9602U5EU","AIPQ软件项目_9602EU","AI和画质算法","software",,"http://tvjira.hisense.com/projects/AIPQ9602U5EU"
"AIHYJY","AI会议纪要","AI和画质算法","software",,"http://tvjira.hisense.com/projects/AIHYJY"
"ANDROIDAVGCBB","Alexa语音控制_CBB","系统和OS平台","software",,"http://tvjira.hisense.com/projects/ANDROIDAVGCBB"
"AML950D5EUAUCOAMU9","AML950D5_EUAUCOAM_U9","Amlogic和Android平台","software",,"http://tvjira.hisense.com/projects/AML950D5EUAUCOAMU9"
"AMLT950XROKU","AML_T950X_ROKU","Amlogic和Android平台","software",,"http://tvjira.hisense.com/projects/AMLT950XROKU"
"AMLT962XXTV","AML_T962X_XTV","Amlogic和Android平台","software",,"http://tvjira.hisense.com/projects/AMLT962XXTV"
"AMLTR955ROKU","AML_TR955_ROKU","Amlogic和Android平台","software",,"http://tvjira.hisense.com/projects/AMLTR955ROKU"
"AMLTR964K8E","AML_TR964-K8E_ROKU","Amlogic和Android平台","software",,"http://tvjira.hisense.com/projects/AMLTR964K8E"
"AMLTR985ROKU4K","AML_TR985_ROKU4K","Amlogic和Android平台","software",,"http://tvjira.hisense.com/projects/AMLTR985ROKU4K"
