"Category","RecentIssueCount","ProjectCount","SampleProjects"
"MT9655平台","225","8","MT9655,MT9655LASER,MT9655JPU9,MT9655AMGTV,MT9655MONITOR,MT9655EUAUCOU9,MT9655SX,MT9655FTV"
"测试质量和自动化","127","4","WSPECTEST,APPPSCI,LANGOTEST,NSPECTEST"
"MTK平台其他","127","8","MT9653,MT9653LASER,MT9602EUAUNASACOU9,MT8195CKXZZHPWX,MT9616AOSP,MT9679,MT8195CKXZZHP,MT9216GTVR50"
"产品项目","125","7","MARPROJECT,TVNXREVIEW,OSTVQM,SOUNBARTVS,OSTVREVIEW,TVSPRE27,TVSKS"
"Amlogic和Android平台","116","9","AMLOGICA311D2,AT966D5,AT963D4,AML950D5EUAUCOAMU9,AMLOGICT963SX,ANS16AMLA311D2,A311D2CKXZZHP,AT950S,AMLOGICT963"
"应用和多媒体","70","3","NXAPPUP,TVAPPS,HIPLAYER"
"系统和OS平台","67","8","VIDAADEV,VIDAAPROJECT,VIDAACHAPP,SSXSHC,VIDAAWEBAPP,VIDAASYGS,VIDAAIPKUPDATE,VIDAATEST"
"其他","42","12","SXYFW,NT72690AMU9,XYFENDA,YYZGGL,NT72690EUAUCOU9,SXXFJKXT,WYXMGL,MONITORA,K1,XRVS3Q01,YYGS,USNPS"
"MT9618平台","42","5","MT9618VIDAALASERU9,MT9618EUAUCOU9,MT9618USGTVU,MT9618USGTV,MT9618LOEWE"
"MT9603平台","42","6","MT9603GLOBU9P,MT9603JPU95,MT9603EUAUCOU9,MT9603FTV,MT9603,MT9603AMU9"
"AI和画质算法","17","1","AIVOICE731"
