"Id","Name","Category","Description"
"1","打开","待办","打开"
"3","Inprogress","处理中","Inprogress"
"4","Reopened","待办","Reopened"
"5","已解决-废弃","完成","A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed."
"6","Closed","完成","Closed"
"10003","Pending","待办","Pending"
"10004","Validating","完成","Validating"
"10005","Resolved","完成","Resolved"
"10006","Open","待办","Open"
"10101","预测试","处理中",""
"10200","审核中","处理中",""
"10301","待评估","处理中",""
"10302","审批中","处理中",""
"10303","验收测试","处理中",""
"10304","运营","处理中",""
"10500","Improved","完成",""
"10800","评估中","处理中",""
"10801","变更中","处理中",""
"10900","未开始","待办",""
"10901","进行中","处理中",""
"10902","新需求","待办",""
"10903","开发中","处理中",""
"10904","评审中","处理中",""
"10905","跟踪中","处理中",""
"11000","待决策","处理中",""
"11001","同意","完成",""
"11002","拒绝","完成",""
"11100","待验证","处理中",""
"11200","待办","待办",""
"11201","完成","完成",""
"11203","编码","处理中","This status is managed internally by JIRA Software"
"11205","测试","处理中","This status is managed internally by JIRA Software"
"11300","通过","完成",""
"11301","存在问题","完成",""
"11400","In Review","处理中",""
"11500","OTA","待办",""
"11600","校验中","处理中",""
"11601","校验不通过","待办",""
"11602","所长审批","处理中",""
"11603","软件部门领导审批","处理中",""
"11604","分管领导审批","处理中",""
"11605","室主任审批","处理中",""
"11606","测试部门领导审批","处理中",""
"11700","待合入","处理中",""
"11800","系统设计","处理中",""
"11801","模块设计","处理中",""
"11802","系统集成","处理中",""
"11900","系统测试","处理中",""
"12000","待基线","处理中",""
"12100","测试审批","处理中",""
